;primary_title;original_title;release_year;duration;genres;rating;num_votes;is_romance;nconst_actor;actor;actor_birth_year;nconst_actress;actress;actress_birth_year;actress_age;actor_age;age_gap;actor_age_bin;actress_age_bin
102;Café Society;Café Society;2016;96;Comedy,Drama,Romance;6.6;75267.0;TRUE;nm0251986;Jesse Eisenberg;1983;nm0829576;Kristen Stewart;1990;26;33;7;(30.0, 35.0];(25.0, 30.0]
106;Collateral Beauty;Collateral Beauty;2016;97;Drama,Romance;6.8;97740.0;TRUE;nm0000226;Will Smith;1968;nm0000701;Kate Winslet;1975;41;48;7;(45.0, 50.0];(40.0, 45.0]
119;The Choice;The Choice;2016;111;Drama,Romance;6.6;38703.0;TRUE;nm0907548;Benjamin Walker;1982;nm1954240;Teresa Palmer;1986;30;34;4;(30.0, 35.0];(25.0, 30.0]
116;My Big Fat Greek Wedding 2;My Big Fat Greek Wedding 2;2016;94;Comedy,Romance;6.0;30092.0;TRUE;nm0179173;John Corbett;1961;nm0889522;Nia Vardalos;1962;54;55;1;(50.0, 55.0];(50.0, 55.0]
103;Paterson;Paterson;2016;118;Comedy,Drama,Romance;7.4;78016.0;TRUE;nm3485845;Adam Driver;1983;nm0267042;Golshifteh Farahani;1983;33;33;0;(30.0, 35.0];(30.0, 35.0]
108;Me Before You;Me Before You;2016;106;Drama,Romance;7.4;234801.0;TRUE;nm3510471;Sam Claflin;1986;nm3592338;Emilia Clarke;1986;30;30;0;(25.0, 30.0];(25.0, 30.0]
105;Mike and Dave Need Wedding Dates;Mike and Dave Need Wedding Dates;2016;98;Comedy,Romance;6.0;87221.0;TRUE;nm1374980;Zac Efron;1987;nm0447695;Anna Kendrick;1985;31;29;-2;(25.0, 30.0];(30.0, 35.0]
113;Mother's Day;Mother's Day;2016;118;Comedy,Drama,Romance;5.7;36299.0;TRUE;nm0837177;Jason Sudeikis;1975;nm0000098;Jennifer Aniston;1969;47;41;-6;(40.0, 45.0];(45.0, 50.0]
117;Love & Friendship;Love & Friendship;2016;90;Comedy,Drama,Romance;6.4;24364.0;TRUE;nm1882152;Xavier Samuel;1983;nm0000295;Morfydd Clark;1989;43;33;-10;(30.0, 35.0];(40.0, 45.0]
115;Julieta;Julieta;2016;99;Drama,Mystery,Romance;7.1;30791.0;TRUE;nm1268637;Daniel Grao;1976;nm0840772;Emma Suárez;1964;52;40;-12;(35.0, 40.0];(50.0, 55.0]
100;How to Be Single;How to Be Single;2016;110;Comedy,Drama,Romance;6.1;85740.0;TRUE;;Damon Wayans Jr.;1982;;Dakota Johnson;1989;;;;;
118;Lady Macbeth;Lady Macbeth;2016;89;Drama,Romance;6.8;22328.0;TRUE;nm4008605;Cosmo Jarvis;1989;nm6073955;Florence Pugh;1996;20;;;;(16.0, 20.0]
131;Mr. Right;Mr. Right;2015;95;Action,Comedy,Romance;6.4;54445.0;TRUE;nm0005377;Sam Rockwell;1968;nm0447695;Anna Kendrick;1985;30;47;17;(45.0, 50.0];(25.0, 30.0]
137;The Diary of a Teenage Girl;The Diary of a Teenage Girl;2015;102;Comedy,Drama,Romance;6.8;31130.0;TRUE;nm0002907;Alexander Skarsgård;1976;nm2525790;Bel Powley;1992;23;39;16;(35.0, 40.0];(20.0, 25.0]
138;Z for Zachariah;Z for Zachariah;2015;98;Drama,Romance,Sci-Fi;6.0;30336.0;TRUE;nm0252230;Chiwetel Ejiofor;1977;nm3053338;Margot Robbie;1990;25;38;13;(35.0, 40.0];(20.0, 25.0]
136;45 Years;45 Years;2015;91;Drama,Romance;7.1;32450.0;TRUE;nm0183822;Tom Courtenay;1937;nm0001648;Charlotte Rampling;1946;69;78;9;(65.0, 81.0];(65.0, 81.0]
132;Far from the Madding Crowd;Far from the Madding Crowd;2015;119;Drama,Romance;7.1;48265.0;TRUE;nm0774386;Matthias Schoenaerts;1977;nm1659547;Carey Mulligan;1985;30;38;8;(35.0, 40.0];(25.0, 30.0]
124;Fifty Shades of Grey;Fifty Shades of Grey;2015;125;Drama,Romance,Thriller;4.1;310066.0;TRUE;nm1946193;Jamie Dornan;1982;nm0424848;Dakota Johnson;1989;26;33;7;(30.0, 35.0];(25.0, 30.0]
133;Sleeping with Other People;Sleeping with Other People;2015;101;Comedy,Drama,Romance;6.5;42717.0;TRUE;nm0837177;Jason Sudeikis;1975;nm1555340;Alison Brie;1982;33;40;7;(35.0, 40.0];(30.0, 35.0]
126;The Age of Adaline;The Age of Adaline;2015;112;Drama,Fantasy,Romance;7.2;167550.0;TRUE;nm0401264;Michiel Huisman;1981;nm0515116;Blake Lively;1987;28;34;6;(30.0, 35.0];(25.0, 30.0]
127;The Danish Girl;The Danish Girl;2015;119;Biography,Drama,Romance;7.1;177347.0;TRUE;nm1519666;Eddie Redmayne;1982;nm2539953;Alicia Vikander;1988;27;33;6;(30.0, 35.0];(25.0, 30.0]
122;The Longest Ride;The Longest Ride;2015;123;Drama,Romance,Western;7.1;80695.0;TRUE;nm2207222;Scott Eastwood;1986;nm1429380;Britt Robertson;1990;25;29;4;(25.0, 30.0];(20.0, 25.0]
